symbol_6502,address,source_line,js_symbol,status,subsystem,notes
DisplayInit,&14CD,2901,applyDisplayTransform,translated-semantic,display,Viewport/palette transform state represented; MOS/CRTC setup removed.
ApplyDisplayTransform,&14D1,2904,applyDisplayTransform,translated-semantic,display,Original palette families plus vertical transform semantics.
ScrollViewportLeft,&13CB,2710,updatePlayerFrame,translated-semantic,display,Logical one-column viewport offset; CRTC memory rotation is unnecessary in Canvas.
ScrollViewportRight,&13E5,2725,updatePlayerFrame,translated-semantic,display,Logical one-column viewport offset; CRTC memory rotation is unnecessary in Canvas.
AddScoreBCD,&15B8,3014,addScoreBCD,translated,score,Three packed-BCD bytes and original bit-5 extra-life boundary test.
DrawStatus,&15DB,3041,updateInfo,host-replaced,score,Browser diagnostics currently expose score/lives/time instead of BBC status-line VDU output.
HighScoreInsert,&164D,3119,highScoreInsert,translated-semantic,score,"Six-record packed-BCD ranking, table shift and three-character initials entry."
PrintInlineStream,&0D21,1592,drawTitleText/title renderers,translated-semantic,display,"Relevant VDU cursor/window semantics retained; printable characters use fixed BBC 8x8 bitmap glyphs plotted directly into the framebuffer with no browser fonts."
RandomUpToA,&0DB6,1706,randomUpToA,translated-semantic,prng,Original mask/rejection 0..A-inclusive shape; tick counter substitutes for VIA timer entropy.
TickIRQ,&0D44,1618,parityTick,translated-semantic,timing,50 Hz browser tick preserves player divisor/countdown cadence; MOS event-vector mechanics omitted.
SoundIRQ,&0D69,1644,soundIRQ,translated-semantic,sound,Original 40 Hz Timer-1 music cadence retained alongside the 100 Hz MOS envelope service; browser scheduler replaces VIA IRQ.
MusicStep,&186B,3403,musicStep,translated,sound,"Original bit7 terminator, bits2..6 pitch and bits0..1 duration decoder over retained stream bytes."
SelectTune,&18B4,3457,selectTune,translated,sound,Original five stream selections and reset/inhibit state represented directly.
OSBYTEWrapper,,1760,browserHost,host-replaced,mos,Only Frak-observable host effects will be represented.
OSWORDWrapper,&0E0B,1766,playSoundBlock/mosEnvelopeTick,host-replaced,mos,"Browser host now reproduces the Frak-used MOS SOUND subset: flush channels, 100 Hz ENVELOPE state, MOS pitch lookup and SN76489 attenuation; Web Audio remains the physical output layer."
